player_id,server_id,start_time,end_time,processing_time
2,Game_Server_2,2024-11-26 20:56:17.908457,2024-11-26 20:56:19.356635,1.429
1,Game_Server_1,2024-11-26 20:56:17.403398,2024-11-26 20:56:19.617145,2.105
3,Game_Server_3,2024-11-26 20:56:18.413552,2024-11-26 20:56:20.554312,2.098
5,Game_Server_2,2024-11-26 20:56:19.423818,2024-11-26 20:56:21.304167,1.841
4,Game_Server_1,2024-11-26 20:56:18.918693,2024-11-26 20:56:22.094018,2.365
6,Game_Server_3,2024-11-26 20:56:19.928926,2024-11-26 20:56:22.550133,1.869
8,Game_Server_2,2024-11-26 20:56:20.939013,2024-11-26 20:56:23.959634,2.544
7,Game_Server_1,2024-11-26 20:56:20.434168,2024-11-26 20:56:24.011343,1.805
9,Game_Server_3,2024-11-26 20:56:21.440968,2024-11-26 20:56:25.142185,2.486
10,Game_Server_1,2024-11-26 20:56:21.946262,2024-11-26 20:56:25.154881,1.034
11,Game_Server_2,2024-11-26 20:56:22.451337,2024-11-26 20:56:26.983962,2.917
12,Game_Server_3,2024-11-26 20:56:22.956471,2024-11-26 20:56:27.653009,2.401
13,Game_Server_1,2024-11-26 20:56:23.461603,2024-11-26 20:56:27.801721,2.538
14,Game_Server_2,2024-11-26 20:56:23.966765,2024-11-26 20:56:28.629847,1.533
17,Game_Server_2,2024-11-26 20:56:25.477792,2024-11-26 20:56:29.832915,1.093
16,Game_Server_1,2024-11-26 20:56:24.972489,2024-11-26 20:56:30.114103,2.200
15,Game_Server_3,2024-11-26 20:56:24.470744,2024-11-26 20:56:30.426868,2.662
