player_id,server_id,start_time,end_time,processing_time
1,Game_Server_1,2024-12-04 19:39:24.989429,2024-12-04 19:39:27.020892,1.923
2,Game_Server_2,2024-12-04 19:39:25.494669,2024-12-04 19:39:27.650913,2.149
3,Game_Server_3,2024-12-04 19:39:25.999900,2024-12-04 19:39:28.007812,1.976
4,Game_Server_1,2024-12-04 19:39:26.504979,2024-12-04 19:39:29.554897,2.426
6,Game_Server_3,2024-12-04 19:39:27.513039,2024-12-04 19:39:30.161821,2.046
5,Game_Server_2,2024-12-04 19:39:27.007949,2024-12-04 19:39:30.673043,2.911
9,Game_Server_3,2024-12-04 19:39:29.028023,2024-12-04 19:39:31.548517,1.275
7,Game_Server_1,2024-12-04 19:39:28.017960,2024-12-04 19:39:31.885575,2.219
8,Game_Server_2,2024-12-04 19:39:28.522876,2024-12-04 19:39:32.558755,1.775
10,Game_Server_1,2024-12-04 19:39:29.533179,2024-12-04 19:39:33.250212,1.254
12,Game_Server_3,2024-12-04 19:39:30.541415,2024-12-04 19:39:33.714633,2.058
11,Game_Server_2,2024-12-04 19:39:30.036159,2024-12-04 19:39:34.677134,2.009
13,Game_Server_1,2024-12-04 19:39:31.043463,2024-12-04 19:39:35.019715,1.664
14,Game_Server_2,2024-12-04 19:39:31.549007,2024-12-04 19:39:36.167152,1.383
15,Game_Server_3,2024-12-04 19:39:32.051783,2024-12-04 19:39:36.552186,2.727
16,Game_Server_1,2024-12-04 19:39:32.557037,2024-12-04 19:39:37.690970,2.561
17,Game_Server_2,2024-12-04 19:39:33.060489,2024-12-04 19:39:38.756152,2.478
