2024-12-03 13:34:28 - Player: 1, Server: Game_Server_1, Processing Time: 2.856s
2024-12-03 13:34:28 - Player: 3, Server: Game_Server_3, Processing Time: 2.221s
2024-12-03 13:34:28 - Player: 2, Server: Game_Server_2, Processing Time: 2.946s
2024-12-03 13:34:29 - Player: 4, Server: Game_Server_1, Processing Time: 1.094s
2024-12-03 13:34:29 - Player: 6, Server: Game_Server_3, Processing Time: 1.089s
2024-12-03 13:34:30 - Player: 7, Server: Game_Server_1, Processing Time: 1.125s
2024-12-03 13:34:31 - Player: 9, Server: Game_Server_3, Processing Time: 1.275s
2024-12-03 13:34:31 - Player: 5, Server: Game_Server_2, Processing Time: 2.542s
2024-12-03 13:34:32 - Player: 12, Server: Game_Server_3, Processing Time: 1.462s
2024-12-03 13:34:33 - Player: 10, Server: Game_Server_1, Processing Time: 2.373s
2024-12-03 13:34:33 - Player: 8, Server: Game_Server_2, Processing Time: 2.075s
2024-12-03 13:34:34 - Player: 15, Server: Game_Server_3, Processing Time: 1.219s
2024-12-03 13:34:35 - Player: 13, Server: Game_Server_1, Processing Time: 1.887s
2024-12-03 13:34:35 - Player: 18, Server: Game_Server_3, Processing Time: 1.552s
2024-12-03 13:34:36 - Player: 11, Server: Game_Server_2, Processing Time: 2.653s
2024-12-03 13:34:36 - Player: 16, Server: Game_Server_1, Processing Time: 1.225s
2024-12-03 13:34:37 - Player: 19, Server: Game_Server_1, Processing Time: 1.249s
2024-12-03 13:34:38 - Player: 14, Server: Game_Server_2, Processing Time: 2.030s
2024-12-03 13:34:41 - Player: 17, Server: Game_Server_2, Processing Time: 2.420s
2024-12-04 19:39:27 - Player: 1, Server: Game_Server_1, Processing Time: 1.923s
2024-12-04 19:39:27 - Player: 2, Server: Game_Server_2, Processing Time: 2.149s
2024-12-04 19:39:28 - Player: 3, Server: Game_Server_3, Processing Time: 1.976s
2024-12-04 19:39:29 - Player: 4, Server: Game_Server_1, Processing Time: 2.426s
2024-12-04 19:39:30 - Player: 6, Server: Game_Server_3, Processing Time: 2.046s
2024-12-04 19:39:30 - Player: 5, Server: Game_Server_2, Processing Time: 2.911s
2024-12-04 19:39:31 - Player: 9, Server: Game_Server_3, Processing Time: 1.275s
2024-12-04 19:39:31 - Player: 7, Server: Game_Server_1, Processing Time: 2.219s
2024-12-04 19:39:32 - Player: 8, Server: Game_Server_2, Processing Time: 1.775s
2024-12-04 19:39:33 - Player: 10, Server: Game_Server_1, Processing Time: 1.254s
2024-12-04 19:39:33 - Player: 12, Server: Game_Server_3, Processing Time: 2.058s
2024-12-04 19:39:34 - Player: 11, Server: Game_Server_2, Processing Time: 2.009s
2024-12-04 19:39:35 - Player: 13, Server: Game_Server_1, Processing Time: 1.664s
2024-12-04 19:39:36 - Player: 14, Server: Game_Server_2, Processing Time: 1.383s
2024-12-04 19:39:36 - Player: 15, Server: Game_Server_3, Processing Time: 2.727s
2024-12-04 19:39:37 - Player: 16, Server: Game_Server_1, Processing Time: 2.561s
2024-12-04 19:39:38 - Player: 17, Server: Game_Server_2, Processing Time: 2.478s
